y	n	f	money	sex	love	work
1	1	2	0	0	2	2
1	1	3	0	0	2	2
1	1	4	0	0	2	2
1	1	5	0	0	2	2
1	1	6	0	0	2	2
1	1	7	0	0	2	2
1	1	8	0	0	2	2
1	1	9	0	0	2	2
1	1	10	0	0	2	2
0	1	2	31	0	2	4
0	1	3	31	0	2	4
0	1	4	31	0	2	4
1	1	5	31	0	2	4
1	1	6	31	0	2	4
1	1	7	31	0	2	4
1	1	8	31	0	2	4
1	1	9	31	0	2	4
1	1	10	31	0	2	4
0	2	2	35	1	2	2
0	2	3	35	1	2	2
1	2	4	35	1	2	2
2	2	5	35	1	2	2
2	2	6	35	1	2	2
2	2	7	35	1	2	2
2	2	8	35	1	2	2
2	2	9	35	1	2	2
2	2	10	35	1	2	2
0	1	2	35	1	3	3
0	1	3	35	1	3	3
0	1	4	35	1	3	3
0	1	5	35	1	3	3
0	1	6	35	1	3	3
0	1	7	35	1	3	3
1	1	8	35	1	3	3
1	1	9	35	1	3	3
1	1	10	35	1	3	3
0	1	2	36	0	3	4
0	1	3	36	0	3	4
0	1	4	36	0	3	4
0	1	5	36	0	3	4
0	1	6	36	0	3	4
0	1	7	36	0	3	4
0	1	8	36	0	3	4
0	1	9	36	0	3	4
1	1	10	36	0	3	4
0	1	2	40	0	2	3
0	1	3	40	0	2	3
0	1	4	40	0	2	3
0	1	5	40	0	2	3
0	1	6	40	0	2	3
1	1	7	40	0	2	3
1	1	8	40	0	2	3
1	1	9	40	0	2	3
1	1	10	40	0	2	3
0	1	2	40	1	2	4
0	1	3	40	1	2	4
0	1	4	40	1	2	4
1	1	5	40	1	2	4
1	1	6	40	1	2	4
1	1	7	40	1	2	4
1	1	8	40	1	2	4
1	1	9	40	1	2	4
1	1	10	40	1	2	4
0	1	2	40	1	3	3
0	1	3	40	1	3	3
0	1	4	40	1	3	3
0	1	5	40	1	3	3
0	1	6	40	1	3	3
1	1	7	40	1	3	3
1	1	8	40	1	3	3
1	1	9	40	1	3	3
1	1	10	40	1	3	3
0	1	2	41	0	3	5
0	1	3	41	0	3	5
0	1	4	41	0	3	5
0	1	5	41	0	3	5
0	1	6	41	0	3	5
0	1	7	41	0	3	5
1	1	8	41	0	3	5
1	1	9	41	0	3	5
1	1	10	41	0	3	5
0	1	2	44	1	2	3
0	1	3	44	1	2	3
1	1	4	44	1	2	3
1	1	5	44	1	2	3
1	1	6	44	1	2	3
1	1	7	44	1	2	3
1	1	8	44	1	2	3
1	1	9	44	1	2	3
1	1	10	44	1	2	3
0	1	2	44	1	2	4
0	1	3	44	1	2	4
0	1	4	44	1	2	4
0	1	5	44	1	2	4
0	1	6	44	1	2	4
1	1	7	44	1	2	4
1	1	8	44	1	2	4
1	1	9	44	1	2	4
1	1	10	44	1	2	4
0	1	2	44	1	3	4
0	1	3	44	1	3	4
0	1	4	44	1	3	4
0	1	5	44	1	3	4
0	1	6	44	1	3	4
0	1	7	44	1	3	4
0	1	8	44	1	3	4
1	1	9	44	1	3	4
1	1	10	44	1	3	4
0	1	2	45	0	2	3
0	1	3	45	0	2	3
0	1	4	45	0	2	3
0	1	5	45	0	2	3
1	1	6	45	0	2	3
1	1	7	45	0	2	3
1	1	8	45	0	2	3
1	1	9	45	0	2	3
1	1	10	45	0	2	3
0	1	2	45	0	2	4
0	1	3	45	0	2	4
0	1	4	45	0	2	4
0	1	5	45	0	2	4
0	1	6	45	0	2	4
1	1	7	45	0	2	4
1	1	8	45	0	2	4
1	1	9	45	0	2	4
1	1	10	45	0	2	4
0	1	2	45	1	3	3
0	1	3	45	1	3	3
0	1	4	45	1	3	3
0	1	5	45	1	3	3
0	1	6	45	1	3	3
0	1	7	45	1	3	3
1	1	8	45	1	3	3
1	1	9	45	1	3	3
1	1	10	45	1	3	3
0	2	2	45	1	3	4
0	2	3	45	1	3	4
0	2	4	45	1	3	4
0	2	5	45	1	3	4
0	2	6	45	1	3	4
0	2	7	45	1	3	4
2	2	8	45	1	3	4
2	2	9	45	1	3	4
2	2	10	45	1	3	4
0	1	2	47	1	3	1
0	1	3	47	1	3	1
0	1	4	47	1	3	1
0	1	5	47	1	3	1
0	1	6	47	1	3	1
0	1	7	47	1	3	1
1	1	8	47	1	3	1
1	1	9	47	1	3	1
1	1	10	47	1	3	1
0	1	2	50	0	3	5
0	1	3	50	0	3	5
0	1	4	50	0	3	5
0	1	5	50	0	3	5
0	1	6	50	0	3	5
0	1	7	50	0	3	5
1	1	8	50	0	3	5
1	1	9	50	0	3	5
1	1	10	50	0	3	5
0	1	2	50	1	3	3
0	1	3	50	1	3	3
0	1	4	50	1	3	3
0	1	5	50	1	3	3
0	1	6	50	1	3	3
1	1	7	50	1	3	3
1	1	8	50	1	3	3
1	1	9	50	1	3	3
1	1	10	50	1	3	3
0	1	2	53	0	3	5
0	1	3	53	0	3	5
0	1	4	53	0	3	5
0	1	5	53	0	3	5
0	1	6	53	0	3	5
0	1	7	53	0	3	5
1	1	8	53	0	3	5
1	1	9	53	0	3	5
1	1	10	53	0	3	5
0	1	2	55	1	1	4
0	1	3	55	1	1	4
1	1	4	55	1	1	4
1	1	5	55	1	1	4
1	1	6	55	1	1	4
1	1	7	55	1	1	4
1	1	8	55	1	1	4
1	1	9	55	1	1	4
1	1	10	55	1	1	4
0	1	2	56	1	2	3
0	1	3	56	1	2	3
0	1	4	56	1	2	3
1	1	5	56	1	2	3
1	1	6	56	1	2	3
1	1	7	56	1	2	3
1	1	8	56	1	2	3
1	1	9	56	1	2	3
1	1	10	56	1	2	3
0	1	2	60	1	3	4
0	1	3	60	1	3	4
0	1	4	60	1	3	4
0	1	5	60	1	3	4
0	1	6	60	1	3	4
1	1	7	60	1	3	4
1	1	8	60	1	3	4
1	1	9	60	1	3	4
1	1	10	60	1	3	4
0	1	2	62	0	3	4
0	1	3	62	0	3	4
0	1	4	62	0	3	4
0	1	5	62	0	3	4
0	1	6	62	0	3	4
0	1	7	62	0	3	4
1	1	8	62	0	3	4
1	1	9	62	0	3	4
1	1	10	62	0	3	4
0	1	2	65	1	3	3
0	1	3	65	1	3	3
0	1	4	65	1	3	3
0	1	5	65	1	3	3
0	1	6	65	1	3	3
0	1	7	65	1	3	3
1	1	8	65	1	3	3
1	1	9	65	1	3	3
1	1	10	65	1	3	3
0	1	2	70	0	2	3
0	1	3	70	0	2	3
0	1	4	70	0	2	3
1	1	5	70	0	2	3
1	1	6	70	0	2	3
1	1	7	70	0	2	3
1	1	8	70	0	2	3
1	1	9	70	0	2	3
1	1	10	70	0	2	3
0	1	2	75	1	3	4
0	1	3	75	1	3	4
0	1	4	75	1	3	4
0	1	5	75	1	3	4
0	1	6	75	1	3	4
0	1	7	75	1	3	4
1	1	8	75	1	3	4
1	1	9	75	1	3	4
1	1	10	75	1	3	4
0	1	2	81	0	2	4
0	1	3	81	0	2	4
0	1	4	81	0	2	4
0	1	5	81	0	2	4
0	1	6	81	0	2	4
0	1	7	81	0	2	4
1	1	8	81	0	2	4
1	1	9	81	0	2	4
1	1	10	81	0	2	4
0	1	2	85	1	1	1
1	1	3	85	1	1	1
1	1	4	85	1	1	1
1	1	5	85	1	1	1
1	1	6	85	1	1	1
1	1	7	85	1	1	1
1	1	8	85	1	1	1
